TIP — Revenue Projections (2026-2028),,,,
,,,,
1.1 Label Sales (Primary Revenue),,,,
Year,Labels Sold,ASP,Revenue,
2026 (Year 1),"20,000",$22.00,"$440,000",
2027 (Year 2),"50,000",$25.00,"$1,250,000",
2028 (Year 3),"200,000",$25.50,"$5,100,000",
,,,,
Sales Mix (Year 3),,,,
Pack,Units,% of Sales,Revenue,
1 Label ($29),"20,000",10%,"$580,000",
5 Labels ($135),"60,000",30%,"$1,620,000",
10 Labels ($250),"100,000",50%,"$2,500,000",
Enterprise ($20/ea),"20,000",10%,"$400,000",
,,,,
1.2 Subscription Revenue (Year 2+),,,,
Year,Subscribers,MRR,ARR,
2026,0,$0,$0,
2027,50,$500,"$6,000",
2028,300,"$4,500","$54,000",
"Premium Subscription: $10/mo Year 2, $15/mo Year 3",,,,
,,,,
1.3 Total Revenue Summary,,,,
Year,Label Sales,Subscriptions,Total Revenue,
2026,"$440,000",$0,"$440,000",
2027,"$1,250,000","$6,000","$1,256,000",
2028,"$5,100,000","$54,000","$5,154,000",
